,intent_label,words,word_labels,length
0,GetWeather,tell me the weather report for half moon bay,O O O B-condition_description I-condition_description O B-geographic_poi I-geographic_poi I-geographic_poi,9
1,GetWeather,give me the latest forecast for half moon bay,O O O B-timeRange B-condition_description O B-geographic_poi I-geographic_poi I-geographic_poi,9
2,GetWeather,give me friday's forecast for half moon bay,O O B-timeRange B-condition_description O B-geographic_poi I-geographic_poi I-geographic_poi,8
3,GetWeather,i need to know the latest forecast for half moon bay,O O O O O B-timeRange B-condition_description O B-timeRange I-timeRange I-timeRange,11
4,GetWeather,Do you have thursday's weather report for half moon bay,O O O B-timeRange B-condition_description I-condition_description O B-geographic_poi I-geographic_poi I-geographic_poi,10
5,GetWeather,Do you have Wednesday's weather forecast for half moon bay,O O O B-timeRange B-condition_description I-condition_description O B-geographic_poi I-geographic_poi I-geographic_poi,10
6,GetWeather,Give me most recent forecast for half moon bay,O O B-timeRange I-timeRange B-condition_description O B-geographic_poi I-geographic_poi I-geographic_poi,9
7,GetWeather,give me Thursday's half moon bay weather report,O O B-timeRange B-geographic_poi I-geographic_poi I-geographic_poi B-condition_description I-condition_description,8
8,GetWeather,Give me the most recent half moon bay weather report,O O O B-timeRange I-timeRange B-geographic_poi I-geographic_poi I-geographic_poi B-condition_description I-condition_description,10
9,GetWeather,i need half moon bay's weather report for sunday,O O B-geographic_poi I-geographic_poi I-geographic_poi B-condition_description I-condition_description O B-timeRange,9
10,GetWeather,i need half moon bay's weather report for Monday,O O B-geographic_poi I-geographic_poi I-geographic_poi B-condition_description I-condition_description O B-timeRange,9
11,GetWeather,give me your most recent weather report for half moon bay,O O O B-timeRange I-timeRange B-condition_description I-condition_description O B-geographic_poi I-geographic_poi I-geographic_poi,11
12,GetWeather,most recent weather report for half moon bay,B-timeRange I-timeRange B-condition_description I-condition_description O B-geographic_poi I-geographic_poi I-geographic_poi,8
13,GetWeather,Tuesday weather forecast for half moon bay,B-timeRange B-condition_description I-condition_description O B-geographic_poi I-geographic_poi I-geographic_poi,7
14,GetWeather,Friday weather report for half moon bay,B-timeRange B-condition_description I-condition_description O B-geographic_poi I-geographic_poi I-geographic_poi,7
15,GetWeather,is monday to be sunny,O B-timeRange O O B-condition_temperature,5
16,GetWeather,is tuesday to be sunny,O B-timeRange O O B-condition_temperature,5
17,GetWeather,is wednesday to be sunny,O B-timeRange O O B-condition_temperature,5
18,GetWeather,is thursday to be sunny,O B-timeRange O O B-condition_temperature,5
19,GetWeather,is friday to be sunny,O B-timeRange O O B-condition_temperature,5
20,GetWeather,is saturday to be sunny,O B-timeRange O O B-condition_temperature,5
21,GetWeather,is sunday to be sunny,O B-timeRange O O B-condition_temperature,5
22,GetWeather,is monday to be cloudy,O B-timeRange O O B-condition_temperature,5
23,GetWeather,is tuesday to be cloudy,O B-timeRange O O B-condition_description,5
24,GetWeather,is wednesday to be cloudy,O B-timeRange O O B-condition_temperature,5
25,GetWeather,is thursday to be cloudy,O B-timeRange O O B-condition_temperature,5
26,GetWeather,is friday to be cloudy,O B-timeRange O O B-condition_temperature,5
27,GetWeather,is saturday to be cloudy,O B-timeRange O O B-condition_temperature,5
28,GetWeather,is sunday to be cloudy,O B-timeRange O O B-condition_temperature,5
29,GetWeather,is monday to be rainy,O B-timeRange O O B-condition_temperature,5
30,GetWeather,is tuesday to be rainy,O B-timeRange O O B-condition_temperature,5
